FET Vds-Id
VG= -40 to 9.95 in 0.15 step
VDS= -20 to 0 in 5 step
NO. VG ID
 V A
821 -17.2 -1.99E-06
822 -17.05 -2.0192E-06
823 -16.9 -2.0567E-06
824 -16.75 -1.9773E-06
825 -16.6 -1.9022E-06
826 -16.45 -1.9617E-06
827 -16.3 -1.9581E-06
828 -16.15 -1.8489E-06
829 -16 -1.8271E-06
830 -15.85 -1.8984E-06
831 -15.7 -1.8419E-06
832 -15.55 -1.7449E-06
833 -15.4 -1.7789E-06
834 -15.25 -1.8161E-06
835 -15.1 -1.7281E-06
836 -14.95 -1.673E-06
837 -14.8 -1.7349E-06
838 -14.65 -1.7259E-06
839 -14.5 -1.6159E-06
840 -14.35 -1.6103E-06
841 -14.2 -1.6778E-06
842 -14.05 -1.6079E-06
843 -13.9 -1.5258E-06
844 -13.75 -1.5624E-06
845 -13.6 -1.5976E-06
846 -13.45 -1.4986E-06
847 -13.3 -1.4589E-06
848 -13.15 -1.5262E-06
849 -13 -1.5117E-06
850 -12.85 -1.3998E-06
851 -12.7 -1.4117E-06
852 -12.55 -1.4729E-06
853 -12.4 -1.399E-06
854 -12.25 -1.3234E-06
855 -12.1 -1.3707E-06
856 -11.95 -1.3898E-06
857 -11.8 -1.2911E-06
858 -11.65 -1.2618E-06
859 -11.5 -1.3334E-06
860 -11.35 -1.3052E-06
861 -11.2 -1.2001E-06
862 -11.05 -1.2312E-06
863 -10.9 -1.2795E-06
864 -10.75 -1.208E-06
865 -10.6 -1.1351E-06
866 -10.45 -1.1988E-06
867 -10.3 -1.2062E-06
868 -10.15 -1.1047E-06
869 -10 -1.0841E-06
870 -9.85 -1.1614E-06
871 -9.7 -1.1187E-06
872 -9.55 -1.0227E-06
873 -9.4 -1.0639E-06
874 -9.25 -1.1071E-06
875 -9.1 -1.0296E-06
876 -8.95 -1.07717E-06
